name,charge1,solvent1,ref,alpb,cpcm-x,ddcosmo,directml,cigin,ese-ee-dnn,ese-gb-dnn,uese,ese-pm7,solv-pc,solv-spts,solv-sptv,cpcm,smd,dcosmors,opencosmors,cosmors,err_alpb,err_cpcmx,err_ddcosmo,err_directml,err_cigin,err_ese-ee-dnn,err_ese-gb-dnn,err_uese,err_ese-pm7,err_solv-PC,err_solv-SPTS,err_solv-SPTV,err_cpcm,err_smd,err_dcosmors,err_dcosmors-add,err_opencosmors,err_cosmors-1601,datapoint,solvent2
1r-tetramethrin,0,octanol,-16.565,-18.202333848743603,-18.4026052130571,-9.233502502409756,-16.58939892289554,-12.283252474842724,-20.085094137634837,-18.36657438948873,-22.21509413759637,-12.845094137695238,-21.54601254201793,-25.44601254190933,-31.586012541886877,-11.3083514050009,-16.200760131816217,-16.511897652817243,-16.46085905782846,-15.482216950813587,-1.6373338487436015,-1.837605213057099,7.331497497590245,-0.0243989228955392,4.281747525157277,-3.520094137634832,-1.8015743894887244,-5.650094137596369,3.7199058623047634,-4.9810125420179325,-8.881012541909325,-15.021012541886872,5.256648594999101,0.3642398681837839,0.053102347182758,-1.5155907009318348,0.10414094217154,1.082783049186414,gsolv,
rs-iprovalicarb,0,octanol,-15.951,-18.43638241677369,-16.54151096254343,-7.225921649166962,-20.42225277837529,-14.65581319198728,-57.16130871652175,-10.464973933625584,-25.54316335073145,-17.713163350720116,-18.17316335065755,-22.71316335085892,-29.693163350672584,-11.74913591376688,-17.032803887924366,-18.417677056982523,-16.985444997328965,-14.005203630819736,-2.4853824167736853,-0.5905109625434299,8.725078350833037,-4.471252778375295,1.295186808012721,-41.21030871652175,5.486026066374416,-9.59216335073145,-1.762163350720115,-2.2221633506575493,-6.762163350858916,-13.742163350672584,4.201864086233121,-1.081803887924366,-2.4666770569825225,-4.5712598040885375,-1.0344449973289649,1.9457963691802649,gsolv,
1-nitroguanidin,0,octanol,-16.278,-11.674483085563915,-9.14515733802964,-6.125514950268064,-9.34029689850182,-12.367469072700944,-10.321451807423909,-10.051451807435816,-11.591451807396954,-14.2814518074157,-20.44145180740293,-19.81145180741883,-19.16145180742504,-10.004629059809766,-8.88989905248226,-16.282507186378194,-9.90602898653906,-7.375030027299163,4.603516914436083,7.13284266197036,10.152485049731936,6.93770310149818,3.910530927299055,5.956548192576092,6.226548192564183,4.686548192603045,1.9965481925842996,-4.163451807402932,-3.533451807418832,-2.8834518074250437,6.273370940190233,7.388100947517739,-0.0045071863781949,-3.1302677703969195,6.3719710134609375,8.902969972700836,gsolv,
"1,1-dimethyl-3,3,4,4,5,5-hexabromo--2,2-bipyrrole",0,octanol,-15.774,-18.290536585893506,-18.594538417470517,-6.18122827785249,-16.654052549882973,-13.124440191130406,-15.051140250458587,-16.47052735552481,-20.521140250753685,-16.11114025111466,-12.901140250344683,-12.021140250489188,-15.79114024981824,-6.095975843945401,-14.04599905705908,-15.949815691853615,-16.283505380167444,-15.983205842377403,-2.516536585893503,-2.820538417470514,9.592771722147509,-0.8800525498829739,2.649559808869593,0.7228597495414117,-0.6965273555248093,-4.747140250753686,-0.3371402511146595,2.872859749655314,3.752859749510812,-0.0171402498182402,9.678024156054596,1.728000942940918,-0.175815691853618,-2.5005309694630657,-0.509505380167445,-0.2092058423774059,gsolv,
"1,2,3,4-dibenzanthracene",0,octanol,-16.524,-11.99231911853506,-13.477544302469614,-0.2694484652540254,-17.77708661889442,-13.234135235511634,-15.63173842308388,-16.01173842305391,-19.771738423091517,-11.891738423055964,-11.061738423082003,-12.031738423052431,-13.6017384230281,-7.554445312826253,-13.655741069182064,-12.533291293755829,-13.719299877694851,-14.09580581078012,4.53168088146494,3.046455697530387,16.254551534745975,-1.253086618894418,3.2898647644883674,0.8922615769161197,0.5122615769460914,-3.247738423091512,4.632261576944037,5.462261576917996,4.49226157694757,2.922261576971902,8.969554687173748,2.868258930817936,3.990708706244172,2.08811415788548,2.804700122305148,2.428194189219882,gsolv,
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",0,octanol,-15.583,-12.734992211569482,-15.62456309860034,-2.7848833155090382,-15.069584784887033,-12.345864320732325,-12.996547495218032,-16.016547494825893,-17.326547494818314,-6.826547494441224,-16.566547494735577,-15.29654749504789,-17.656547494764123,-3.8813315258035694,-8.22745322531835,-13.001758235951218,-13.708251024236096,-13.699548368433987,2.848007788430518,-0.0415630986003385,12.798116684490962,0.5134152151129676,3.2371356792676758,2.586452504781967,-0.433547494825893,-1.7435474948183138,8.756452505558777,-0.9835474947355768,0.2864525049521109,-2.0735474947641226,11.70166847419643,7.355546774681651,2.581241764048782,0.6346280032056875,1.874748975763905,1.8834516315660128,gsolv,
"1,2,3,4,6,7,8,9-octachlorodibenzo-p--dioxin",0,octanol,-18.161,-12.705140840228108,-16.033876578373544,-2.3011983592911176,-15.711105066238602,-12.298706765849436,-12.501162553187458,-16.311162553391956,-17.751162553518682,-7.961162553414129,-17.00116255322677,-15.571162553461589,-18.231162553180443,-3.5641426265313565,-8.260969154660883,-13.21985513696906,-14.056195016411444,-14.111236487814146,5.455859159771894,2.1271234216264574,15.859801640708884,2.4498949337613998,5.862293234150567,5.659837446812544,1.8498374466080456,0.409837446481319,10.199837446585873,1.1598374467732313,2.5898374465384126,-0.0701625531804417,14.596857373468644,9.90003084533912,4.941144863030942,2.990622825342573,4.104804983588558,4.049763512185855,gsolv,
"1,2,3,4,7,8,9-heptachlorodibenzofuran",0,octanol,-15.596,-12.784052731850707,-14.913190826375082,-2.9375969422673167,-14.303525151829962,-12.763114401878086,-12.52288387931379,-15.902883879096008,-16.072883878964326,-6.052883878534359,-15.112883879070084,-13.762883879343647,-15.742883879018514,-3.3740948438287117,-8.196138831226108,-12.369592718681147,-12.643520780905794,-12.868216113090927,2.811947268149293,0.6828091736249178,12.658403057732684,1.2924748481700377,2.832885598121914,3.07311612068621,-0.3068838790960075,-0.4768838789643261,9.54311612146564,0.4831161209299175,1.8331161206563529,-0.1468838790185138,12.221905156171289,7.399861168773892,3.2264072813188527,1.2643215475253715,2.952479219094206,2.727783886909071,gsolv,
"1h-purin-6-amine,-n-phenylmethyl-",0,octanol,-17.547,-16.032651298563945,-17.98255653892631,-6.1702257966921366,-18.3675312327155,-15.554968714889442,-12.444649195804098,-16.704649195798513,-21.704649195794637,-17.32464919581344,-19.134649195834008,-19.784649195863462,-20.8346491958013,-16.344708440008873,-22.438720352176365,-23.6256150631958,-22.460062346121624,-18.46916427999898,1.514348701436056,-0.4355565389263098,11.376774203307864,-0.8205312327154992,1.9920312851105584,5.102350804195902,0.8423508042014873,-4.157649195794633,0.2223508041865614,-1.5876491958340075,-2.237649195863465,-3.287649195801301,1.202291559991128,-4.891720352176364,-6.078615063195798,-9.817698944839943,-4.913062346121624,-0.9221642799989808,gsolv,
2-[n-ethyl-4-[4-nitrophenyldiazenyl]anilino]ethanol,0,octanol,-20.004,-22.00014270865494,-20.706005541913893,-10.914000068278868,-19.323182704145264,-16.41725394950797,-114.3659946303727,-15.45278045396094,-26.23135850249141,-18.40181333969104,-29.87983794620603,-32.30983794631287,-36.86983794623856,-14.584652109921104,-16.990218702645365,-20.80642084634338,-18.708599762647147,-18.170568022336017,-1.99614270865494,-0.7020055419138913,9.089999931721133,0.6808172958547374,3.586746050492032,-94.36199463037268,4.551219546039063,-6.227358502491413,1.6021866603089627,-9.87583794620603,-12.305837946312868,-16.86583794623856,5.419347890078898,3.0137812973546367,-0.8024208463433773,-2.9730597405154064,1.2954002373528546,1.8334319776639845,gsolv,
2-aminoanthraquinone,0,octanol,-15.678,-15.60971872214801,-16.679852724156667,-7.840309335367904,-15.816067791321682,-13.595484743320464,-16.301375742171338,-18.461375742218745,-17.541375742201193,-11.368196270400857,-22.151175015678632,-22.46117501561476,-23.16117501566843,-11.5961600904991,-14.395678660246492,-16.7358311884045,-15.684139797865829,-14.094678484855022,0.068281277851991,-1.0018527241566666,7.837690664632096,-0.1380677913216814,2.082515256679537,-0.6233757421713371,-2.783375742218741,-1.8633757422011925,4.309803729599144,-6.473175015678631,-6.783175015614756,-7.483175015668429,4.081839909500902,1.2823213397535085,-1.0578311884044993,-3.305716630536107,-0.0061397978658277,1.5833215151449789,gsolv,
"2,2,3,3,4,4,5,5,6-nonachlorobiphenyl",0,octanol,-15.651,-14.8080339388459,-16.307037615950314,-2.8696795310708403,-15.100254502857636,-12.166418552015449,-11.302553233881042,-16.922553233892092,-17.672553233613286,-7.922553233813466,-10.972553233364517,-9.651921477058108,-12.971921477239304,-3.3627947988471982,-9.405529563879751,-13.75223204835637,-14.242610454073583,-13.984070775068515,0.842966061154101,-0.6560376159503143,12.78132046892916,0.5507454971423638,3.484581447984553,4.348446766118958,-1.2715532338920923,-2.021553233613286,7.728446766186534,4.678446766635485,5.999078522941892,2.679078522760696,12.288205201152802,6.245470436120248,1.898767951643629,-0.1726502947504578,1.4083895459264149,1.6669292249314829,gsolv,
"2,2,3,4,4,5,6-heptabromodiphenylether",0,octanol,-19.649,-16.444233741407068,-17.211802688614323,-2.979411141839435,-19.03521231392773,-12.526769339477562,-11.512491636604569,-18.36948307778456,-23.65260926190966,-16.499483077520914,-16.61249163379554,-15.18249163345964,-18.89249163176088,-5.138749444283384,-13.558140478985228,-16.920941581968695,-17.134276091842636,-16.671736292460224,3.204766258592933,2.437197311385677,16.669588858160566,0.6137876860722713,7.122230660522439,8.136508363395434,1.2795169222154392,-4.003609261909659,3.149516922479087,3.036508366204462,4.466508366540362,0.7565083682391247,14.510250555716617,6.090859521014773,2.7280584180313063,0.2934938581500859,2.5147239081573645,2.9772637075397768,gsolv,
